"","añoLance","NOMBRE_BARCO","catch","catchsd","catchn","catche","catchl","catchr"
"117",2011,"DIEGO RAMIREZ",492613,4046.40262822248,143,663.207099146043,491949.792900854,493276.207099146
"118",2011,"FRIO SUR IX",161625,1544.69937623433,235,197.495921338389,161427.504078662,161822.495921338
"119",2011,"FRIO SUR VIII",55680,909.549579603277,86,192.231804558473,55487.7681954415,55872.2318045585
"120",2011,"FRIO SUR X",130725,2040.04362332638,201,282.026239477656,130442.973760522,131007.026239478
"121",2011,"UNION SUR",236204,3837.25026531885,111,713.849609726904,235490.150390273,236917.849609727
"122",2011,"UNZEN MARU",789123,3418.22190375265,321,373.934751119335,788749.065248881,789496.934751119
"123",2012,"CABO DE HORNOS",85421,2247.38487693757,76,505.264457292014,84915.735542708,85926.264457292
"124",2012,"DIEGO RAMIREZ",130618,2485.63087810416,85,528.415153537348,130089.584846463,131146.415153537
"125",2012,"FRIO SUR IX",140083,2226.96736226219,152,354.030068606509,139728.969931393,140437.030068607
"126",2012,"FRIO SUR VIII",70820,1219.95838273216,148,196.5451125934,70623.4548874066,71016.5451125934
"127",2012,"FRIO SUR X",79405,1555.89330927475,120,278.379519720309,79126.6204802797,79683.3795197203
"128",2012,"UNION SUR",427529,3081.51985713227,201,426.005330104502,427102.994669896,427955.005330104
"129",2012,"UNZEN MARU",591417,3338.05277176568,256,408.903950697177,591008.096049303,591825.903950697
"130",2013,"CABO DE HORNOS",15550,781.926156675139,24,312.829867969109,15237.1701320309,15862.8298679691
"131",2013,"DIEGO RAMIREZ",88651,3152.34338667859,46,910.967104249628,87740.0328957504,89561.9671042496
"132",2013,"FRIO SUR IX",116131,1866.76543697392,153,295.795884322428,115835.204115678,116426.795884322
"133",2013,"UNION SUR",363287,3875.13808971043,136,651.277118035056,362635.722881965,363938.277118035
"134",2013,"UNZEN MARU",464103,3579.4045408653,139,595.047281721641,463507.952718278,464698.047281722
"135",2014,"CABO DE HORNOS",106658,2460.84345445716,60,622.667864948374,106035.332135052,107280.667864948
"136",2014,"DIEGO RAMIREZ",85903,2390.03991130501,62,594.918397685629,85308.0816023144,86497.9183976856
"137",2014,"FRIO SUR IX",2670,151.359039451,17,71.9501979807021,2598.0498020193,2741.9501979807
"138",2014,"FRIO SUR VIII",82894,1573.35787382132,135,265.404770416584,82628.5952295834,83159.4047704166
"139",2014,"FRIO SUR X",266290,3523.25668173249,111,655.436897080638,265634.563102919,266945.436897081
"140",2014,"UNION SUR",432394,4209.0397068323,128,729.165528317316,431664.834471683,433123.165528317
"141",2014,"UNZEN MARU",1054865,3866.41554955592,310,430.403478717231,1054434.59652128,1055295.40347872
"142",2015,"CABO DE HORNOS",68353,2280.31476030235,84,487.644405800783,67865.3555941992,68840.6444058008
"143",2015,"DIEGO RAMIREZ",215015,1768.2210039343,206,241.463241175709,214773.536758824,215256.463241176
"144",2015,"FRIO SUR IX",421578,4497.98566862711,144,734.657492790537,420843.342507209,422312.657492791
"145",2015,"FRIO SUR VIII",4593,538.480263803136,14,282.068028775275,4310.93197122473,4875.06802877527
"146",2015,"UNION SUR",567808,3663.17740301509,216,488.516421297113,567319.483578703,568296.516421297
"147",2015,"UNZEN MARU",779099,3954.12771587894,273,469.04818539354,778629.951814606,779568.048185394
"148",2016,"CABO DE HORNOS",626377,3183.80741769564,261,386.255456479729,625990.74454352,626763.25545648
"149",2016,"DIEGO RAMIREZ",391241,2870.08619408701,240,363.109331366262,390877.890668634,391604.109331366
"150",2016,"FRIO SUR IX",381088,3501.88193783674,197,489.008578842045,380598.991421158,381577.008578842
"151",2016,"FRIO SUR VIII",15,NA,1,NA,NA,NA
"152",2016,"FRIO SUR X",276165,3057.89929682373,181,445.483868818861,275719.516131181,276610.483868819
"153",2016,"UNION SUR",1087401,3496.85276072463,398,343.545212816181,1087057.45478718,1087744.54521282
"154",2016,"UNZEN MARU",1314729,3503.64253634514,446,325.162498512897,1314403.83750149,1315054.16249851
"155",2017,"CABO DE HORNOS",193490,2987.29178824343,108,563.396128516526,192926.603871483,194053.396128517
"156",2017,"DIEGO RAMIREZ",132307,2107.70525973517,113,388.61427414831,131918.385725852,132695.614274148
"157",2017,"FRIO SUR IX",201589,3912.93564888095,84,836.779734382919,200752.220265617,202425.779734383
"158",2017,"FRIO SUR VIII",48536,1128.4405097864,64,276.46284473467,48259.5371552653,48812.4628447347
"159",2017,"FRIO SUR X",134626,2420.94848060172,137,405.390301895797,134220.609698104,135031.390301896
"160",2017,"UNION SUR",792109,2714.55013281161,489,240.597731456108,791868.402268544,792349.597731456
"161",2017,"UNZEN MARU",744918,2272.0972909919,486,202.002563224783,744715.997436775,745120.002563225
"162",2018,"CABO DE HORNOS",140621,2069.17606407164,91,425.133022862342,140195.866977138,141046.133022862
"163",2018,"DIEGO RAMIREZ",104604,1803.87944470202,103,348.366983861448,104255.633016139,104952.366983861
"164",2018,"FRIO SUR IX",601243,3718.46814975004,339,395.833282534372,600847.166717466,601638.833282534
"165",2018,"FRIO SUR VIII",137640,3653.52686978422,51,1002.7099134266,136637.290086573,138642.709913427
"166",2018,"FRIO SUR X",491113,3425.49004613219,243,430.692852047013,490682.307147953,491543.692852047
"167",2018,"UNION SUR",1024335,3448.51185552274,513,298.41533148983,1024036.58466851,1024633.41533149
"168",2018,"UNZEN MARU",498663,3632.70640967391,261,440.715309828947,498222.284690171,499103.715309829
"169",2019,"CABO DE HORNOS",45862,1096.07394420777,75,248.060327751622,45613.9396722484,46110.0603277516
"170",2019,"DIEGO RAMIREZ",5945,216.682761639959,45,63.3091082439355,5881.69089175606,6008.30910824394
"171",2019,"FRIO SUR IX",15197,368.266095949384,83,79.2265569489787,15117.773443051,15276.226556949
"172",2019,"FRIO SUR VIII",10804,1412.66041586414,14,739.9831815885,10064.0168184115,11543.9831815885
"173",2019,"FRIO SUR X",33401,1560.17212217744,61,391.521564103678,33009.4784358963,33792.5215641037
"174",2019,"UNION SUR",919780,2684.78103312019,451,247.781393545123,919532.218606455,920027.781393545
"175",2019,"UNZEN MARU",344120,2132.49335924517,273,252.96151576009,343867.03848424,344372.96151576
"176",2020,"CABO DE HORNOS",34772,1599.73845689635,83,344.158127378063,34427.8418726219,35116.1581273781
"177",2020,"FRIO SUR IX",56955,2111.95225692646,62,525.698021500064,56429.3019784999,57480.6980215001
"178",2020,"FRIO SUR X",72232,2507.93958677012,89,521.038912063217,71710.9610879368,72753.0389120632
"179",2020,"UNION SUR",218155,3266.43315503919,107,618.913530630624,217536.086469369,218773.913530631
"180",2020,"UNZEN MARU",375632,2147.29292718097,223,281.829826386395,375350.170173614,375913.829826386
"181",2021,"CABO DE HORNOS",26793,448.860682351151,98,88.8682480386665,26704.1317519613,26881.8682480387
"182",2021,"FRIO SUR IX",1195,139.551938681423,13,75.8599040456393,1119.14009595436,1270.85990404564
"183",2021,"FRIO SUR X",2925,639.482212418766,6,511.68293673713,2413.31706326287,3436.68293673713
"184",2021,"UNION SUR",165991,2333.10420800346,89,484.715853875019,165506.284146125,166475.715853875
"185",2021,"UNZEN MARU",45734,2643.38234927232,36,863.489033657104,44870.5109663429,46597.4890336571
